评论ID,用户ID,评论内容,时间,日期,平台,点赞数,评论数,转发数
comment_001595,user_00216,这个这个思路寻常，没什么感觉。,2025-01-01 07:55:08,2025-01-01,B站,406,47,86
comment_001421,user_00544,今天天气太棒了，适合玩了桌游。,2025-01-01 09:35:48,2025-01-01,抖音,909,300,291
comment_000206,user_00579,这个组织很出色，表现出色！,2025-01-01 12:02:21,2025-01-01,抖音,246,18,64
comment_001747,user_00988,这位医生的表现一般化，一般般。,2025-01-01 12:03:17,2025-01-01,爱奇艺,304,34,69
comment_003862,user_00830,这个团队很不爽，表现很差！,2025-01-01 13:47:49,2025-01-01,抖音,94,8,31
comment_001698,user_00642,这个剧组很完美，表现出色！,2025-01-01 13:54:37,2025-01-01,快手,552,200,49
comment_002341,user_00781,这个高尔夫球场一般化，和预期差不多。,2025-01-01 14:22:22,2025-01-01,微博,49,18,0
comment_005164,user_00500,这个系统很出色，体验很好。,2025-01-01 14:54:32,2025-01-01,抖音,231,106,6
comment_000151,user_00049,这个支付软件平淡，能用但有缺陷。,2025-01-01 15:07:46,2025-01-01,火山小视频,262,55,21
comment_000453,user_00030,百度的服务很糟糕，太差劲了。,2025-01-01 16:32:37,2025-01-01,B站,21,3,2
comment_003540,user_00460,这个速度很烦人，没解决我的问题。,2025-01-01 17:56:52,2025-01-01,微信,90,1,11
comment_004575,user_00102,这部历史片很糟，看得很无聊。,2025-01-01 19:36:20,2025-01-01,美拍,8,0,1
comment_002657,user_00170,这个健身房很好，下次还要来。,2025-01-01 23:07:55,2025-01-01,小红书,861,77,212
comment_002786,user_00668,这部古装剧很糟糕，看得很无聊。,2025-01-01 23:56:02,2025-01-01,腾讯视频,18,7,3
comment_003301,user_00192,买了新房子普通，可有可无。,2025-01-02 01:04:42,2025-01-02,小红书,338,55,82
comment_001917,user_00770,这位朋友太很惊艳了，支持！,2025-01-02 01:13:59,2025-01-02,小咖秀,250,66,13
comment_005023,user_00653,这个程序很满意，体验很好。,2025-01-02 02:34:36,2025-01-02,微博,296,42,87
comment_000840,user_00479,苹果的服务很精彩，很满意。,2025-01-02 02:36:30,2025-01-02,今日头条,432,5,136
comment_003169,user_00511,新的空调一般，能用但不算好。,2025-01-02 03:09:03,2025-01-02,抖音,400,7,124
comment_002803,user_00875,新的投影仪很出色，性价比很高。,2025-01-02 06:20:03,2025-01-02,西瓜视频,956,28,238
comment_001330,user_00206,今天去了旅行，很烂，很失望。,2025-01-02 07:23:27,2025-01-02,爱奇艺,53,12,3
